datetime,title,up,down
2022.12.26 02:17,니 부모하고 손잡고 니들끼리 고민해라,3,1
2022.12.25 21:42,"반도체~(삼전,하닉)",6,4
2022.12.25 19:58,대주주 10억 가족합산 폐지 [2],19,7
2022.12.25 18:08,아~~열받네. [1],7,6
2022.12.25 18:01,25~7년 사이 100만은 가지 않을까?,12,6
2022.12.25 18:30,대한민국은 민주공화국이다 검찰집단 공화국...,6,2
2022.12.25 15:33,유튜브에서 얘 홍보하는 사람이 무지 많아... [1],5,4
2022.12.25 14:44,15만 개미 내년 과세 피했다…대주주 가...,15,2
2022.12.25 18:36,홀딩스.케미칼.엠텍,2,0
2022.12.25 10:15,민주당때문에 [2],7,4
2022.12.25 09:49,포스코가 염호에서 [2],7,2
2022.12.25 08:14,차기주도주 메시급이다 [2],14,2
2022.12.25 07:20,24년에 리튬 순이익이 철강을 뛰어넘는다 [1],4,1
2022.12.25 08:17,24년에 리튬 순이익이 철강을 뛰어넘는다,6,2
2022.12.25 20:49,24년에 리튬 순이익이 철강을 뛰어넘는다,1,0
2022.12.25 07:08,염호 리튬 추출 대박,5,2
2022.12.24 23:51,외놈+북한,5,2
2022.12.24 19:52,[삭제된 게시물의 답글] 포홀딩의 가치?,5,2
2022.12.24 18:54,1월2일 그때는 폭등이다. 지금 줄때 매... [3],37,6
2022.12.24 17:24,경제에 무지한 민주당 [16],64,22
2022.12.24 15:23,"영호리튬 영업이익율 90%, 광석리튬 5... [2]",15,4
2022.12.24 14:34,[삭제된 게시물의 답글]그만 올려 도라이...,10,1
2022.12.24 13:08,2022년 배당 기준일 [1],8,3
2022.12.24 10:50,"배터리 광물 '리튬' 대량 확보...""I... [2]",8,1
2022.12.24 10:33,금투세 요약 [10],16,5
2022.12.24 10:14,염호리튬90% [2],4,1
2022.12.24 09:17,◆한국시장 세계꼴찌 [5],28,2
2022.12.24 08:30,한국이100년이상쓸리툼여기있어요,9,1
2022.12.24 06:02,뉴스나오네,6,4
2022.12.24 01:37,진짜 주식장이 바닥인 지표가,5,2
2022.12.24 08:25,진짜 주식장이 바닥인 지표가,2,0
2022.12.23 22:33,오늘같이 지랄같은 장에서 [1],19,3
2022.12.23 20:41,민주당이 [8],45,30
2022.12.23 21:45,민주당이,6,2
2022.12.23 19:57,포스코HY클린메탈 블랙파우더 받는 공장.... [1],24,2
2022.12.23 19:36,두손 두발 다 들었다,4,1
2022.12.23 17:03,개미들 ㅈㄴ털렸네 [3],7,4
2022.12.23 16:59,개미들 엄청 팔았군. 좋아요.ㅎ [2],13,4
2022.12.23 16:13,민주당 아웃 [14],58,16
2022.12.24 01:46,민주당 아웃,1,0
2022.12.23 16:12,"짐바브웨, '미가공' 원료 리튬 수출 금...",27,2
2022.12.23 16:01,top10 진입. 2칸 상승,14,1
2022.12.23 15:56,뭐여 포스코홀딩스 에 십억개미가 이리 많... [1],11,2
2022.12.23 15:50,이런장에 [1],11,2
2022.12.23 15:44,대주주 회피물량(외인+기관 쌍끌이 매수) [2],17,1
2022.12.23 15:44,오늘같은날 [1],18,1
2022.12.23 15:40,담주에 시총 10위권 노크 [2],18,1
2022.12.23 15:31,잘했네 오늘하루 [1],13,1
2022.12.23 15:14,좌파넘들 10억으로 금두세 의결해서 주가... [13],31,11
2022.12.23 14:57,"POSCO홀딩스,보유중이신분들만. [3]",3,1
2022.12.23 14:41,오늘 놀랍네요~~ [1],5,3
2022.12.23 14:39,엠텍주주들 뭔 배짱인지 [2],5,2
2022.12.23 14:31,오늘 같은 장에 대단하네!!,7,3
2022.12.23 14:30,역시 내선택이 옳았다.,6,2
2022.12.23 14:51,역시 내선택이 옳았다. [2],3,2
2022.12.23 14:14,배당이 주가 상승시키네. 배당 1만원. ... [2],5,1
2022.12.23 14:13,포스코홀딩스 너무 멋지다.,9,1
2022.12.23 14:11,정말 믓진 포홀~! ㅎ,7,1
2022.12.23 14:09,Korea Aramco 나왔네,7,1
2022.12.23 14:03,포홀 IR팀장 인터뷰 내용 중 [6],19,2
2022.12.23 14:03,포스코 주주가 되려면 진행 상황과 계열사...,4,1
2022.12.23 13:54,미선물도 돌아섰는데 이거양전하면 [3],4,1
2022.12.23 13:47,숏보단 롱이 항상 푸근한 법. [5],17,1
2022.12.23 13:44,오이오이 믿고있었다고,3,1
2022.12.23 13:43,올해거래일 몇일 안남았다 빨리담아라,4,1
2022.12.23 13:40,양전 가자. 갈놈은 간다. 삼전 시총 넘...,6,2
2022.12.23 13:38,담주에 골든크로스 발생 확실~ [3],13,3
2022.12.23 13:12,"금일종가 290,000 [2]",5,3
2022.12.23 12:59,털린 흑우들 반성해,5,3
2022.12.23 12:41,"필바라, 리튬 가격 31% 인상 추진…포... [3]",8,3
2022.12.23 12:10,니가 [3],5,2
2022.12.23 11:47,벌레 광고충들 글 올라오면 신고 좀 각자... [1],5,1
2022.12.23 11:39,오늘 같은날 외인 기관 매수 1등 기업이... [1],8,3
2022.12.23 11:24,전체적으로 장이 않좋은데도 선방하고 있음...,7,2
2022.12.23 11:14,"POSCO홀딩스, 도움되는정보 확인하세요 [1]",2,1
2022.12.23 11:06,리튬.니켈.흑연등 원자재 투자는~,7,2
2022.12.23 10:48,오늘이 [1],5,3
2022.12.23 10:47,기가찬다 교보증권 모 차장..,13,4
2022.12.23 10:50,기가찬다 교보증권 모 차장.. [1],9,3
2022.12.23 10:45,포홀 ir 팀장 영상 [1],15,3
2022.12.23 10:36,젊은이들은 투기성 단타 선호하니까~ [1],4,2
2022.12.23 10:15,외인들 줍줍,4,3
2022.12.23 10:15,주식하면서...,15,2
2022.12.23 10:04,좌파들의 작품 [3],17,9
2022.12.23 10:07,좌파들의 작품,4,2
2022.12.23 09:59,10년전부터 준비한 포스코홀딩스.,13,3
2022.12.23 09:47,오르겠네,3,1
2022.12.23 09:22,대주주 회피 물량 나오는 중 [4],17,7
2022.12.23 09:15,미래는 연간 1만톤 공급 계약으로 저 난... [2],12,2
2022.12.23 08:58,전약 후강,3,2
2022.12.23 08:57,조정 오던말던,5,3
2022.12.23 08:18,김건희 작전주 도이치모터스로 10억벌어 [5],13,10
2022.12.23 07:57,기관재매수시작함,5,2
2022.12.22 23:10,◆주식 양도세 10억투자시 25% 과세 [4],18,6
2022.12.22 22:49,요즘 한국시장에서 젤 느긋한 주.,6,5
2022.12.22 22:25,가족합산 연좌제 대주주과세 10억 [5],37,5
2022.12.22 21:29,수소사업도 잘 진행중 [2],16,8
2022.12.22 20:51,★국민들 발목 잡기하는 민주당 다음 총선... [13],84,25
2022.12.22 21:22,사료먹는 알바야......자기편은 무죄 ...,13,12
2022.12.22 20:42,10억이 대주주? [2],18,6
2022.12.22 20:06,포스코홀딩스 IR팀장 유튜브 인터뷰 올라... [3],17,3
2022.12.22 19:03,교보증권 사영ㅇ차장 이거 좀 수상하다 [6],36,1
2022.12.22 23:05,교보증권 사영ㅇ차장 이거 좀 수상하다,2,0
2022.12.22 23:11,교보증권 사영ㅇ차장 이거 좀 수상하다,1,0
2022.12.22 18:54,"금투세 유예안에 개미 ""휴우~""…대주주 ... [3]",5,2
2022.12.22 18:44,금투세 2년 유예 확정 [3],10,7
2022.12.22 18:13,죽었다고 복창해야겠네 [5],8,6
2022.12.22 17:51,예산안 합의 내일 비준s [2],7,3
2022.12.22 16:05,리튬 밧데리 끝났고 중국 인산철 밧데리 ... [6],24,4
2022.12.22 15:45,12/22 목 매매동향 [1],10,1
2022.12.22 15:28,무겁게 앞으로 3년 이상 꾸준히 올라갑니... [2],28,3
2022.12.22 15:07,가슴에 손을얹고 눈감고 [3],28,4
2022.12.22 15:08,가슴에 손을얹고 눈감고,3,2
2022.12.22 14:52,포스코홀딩스 다시알기,14,4
2022.12.22 14:20,홀딩스가 2차전지 끝판왕인디~ [3],18,4
2022.12.22 14:07,끝났다 상승턴 2차파동시작 [1],9,4
2022.12.22 14:04,그냥 [2],24,2
2022.12.22 14:34,리튬관련,4,1
2022.12.22 14:01,종가가 고가 [2],5,2
2022.12.22 13:57,20일선 넘고 있는데~ [1],3,2
2022.12.22 13:28,하얀석유 [1],6,3
2022.12.22 13:26,"월봉20 일선위에안착,,,,내년에",1,0
2022.12.22 13:01,"배당금 만원준다는게사실이냐,, [7]",3,2
2022.12.22 13:27,"챠트가 우상향 으로 틀었네,,",1,0
2022.12.22 12:52,포홀 영업이익 vs LG엔솔 영업이익 비... [2],12,3
2022.12.22 11:30,오늘도.. [1],5,3
2022.12.22 11:24,물량 뺏기지 말고 잘 간수해라,12,4
2022.12.22 11:08,속보 모간이 집에감,3,1
2022.12.22 10:23,구멍가게가 마트와 경쟁이 되지 않는 이유... [3],22,5
2022.12.22 09:35,이제시작입이다,2,1
2022.12.22 09:22,오늘도매수기회를주는구나 [1],3,1
2022.12.22 09:11,숏커버링 시작할것 같음데 [1],7,3
2022.12.22 09:04,못보신분들을 위해서.. 오늘자 중앙... [1],10,1
2022.12.22 08:55,오늘 돈 들어온다 더 추매...,2,1
2022.12.22 08:54,결국은 간다.,2,1
2022.12.22 08:36,[삭제된 게시물의 답글]기관들이 시초에 ... [1],3,1
2022.12.22 06:01,[삭제된 게시물의 답글]미국adr,8,3
2022.12.21 22:23,상승장이 오면~,12,8
2022.12.21 21:03,그냥 배당 받으면서 성장을 보자 [2],31,10
2022.12.21 21:13,리튬,6,2
2022.12.21 20:55,듣거라 보거라~~ [1],14,4
2022.12.21 20:56,공개질문,5,3
2022.12.21 20:27,리튬 매출 100조 예상한단다 [1],12,5
2022.12.21 19:50,짐바브웨 미가공 리튬 [1],16,3
2022.12.21 18:43,의미있는건 [5],27,6
2022.12.21 21:08,근데 포엠은 왜 폭등하지요,4,2
2022.12.21 18:01,어째서인지,5,4
2022.12.21 17:56,시외서 [2],9,5
2022.12.21 17:47,와 포스코리튬솔루션... [1],14,3
2022.12.21 17:42,미국내 리튬 생산두 계획중..... [1],9,2
2022.12.21 17:20,공시봤지? 포스코엠텍 아니라니깐 ㅋㅋ [3],17,5
2022.12.21 17:18,본격적인 리튬 생산 제조,7,2
2022.12.21 17:14,리튬솔루션 드뎌 자회사 편입,5,3
2022.12.21 16:16,광고충들이 많이 늘었네요......... [1],4,0
2022.12.21 15:43,철광석 가격 껑충...국내 열연강판 가격...,7,2
2022.12.21 15:38,엿값은 엿장수맘대로,5,3
2022.12.21 15:38,12/21 수 매매동향,4,2
2022.12.21 15:37,"땅까지 내어주며 러브콜""…포스코에 매달린...",10,2
2022.12.21 15:22,아무리 호재 나와도 시들시들,8,1
2022.12.21 15:21,금투세 유예와 주식 양도소득세 과세대상 ... [3],12,1
2022.12.21 15:16,배당 받고 1월엔 35만원 2차 상승 나... [1],13,2
2022.12.21 15:01,갖고 있는거 매도하고 [1],3,2
2022.12.21 15:12,갖고 있는거 매도하고,1,0
2022.12.21 14:15,2024년 연간 25000톤 생산하면,15,3
2022.12.21 14:07,[삭제된 게시물의 답글]고점찍고 계단식 ...,5,1
2022.12.21 13:14,[삭제된 게시물의 답글]포홀은 1퍼라도 ...,2,1
2022.12.21 13:02,"양극재, 음극재, 리튬, 니켈의 성장성을...",12,2
2022.12.21 12:43,포홀 vs LG엔솔..LG엔솔 시총 보다... [3],20,1
2022.12.21 12:22,좋네요,3,2
