datetime,title,up,down
2022.12.26 14:07,배당락 하면 얼마까지 한방에 떨어지지? [2],1,0
2022.12.26 13:28,너무 비싸다,3,0
2022.12.26 11:53,주가 왜케 떨어지냐.. [1],5,0
2022.12.26 11:00,잃을것도 없다고 이제.. [1],1,0
2022.12.26 09:50,4만원대 다시 진입하겠네.,6,0
2022.12.26 09:41,역시 금융 대장주 답다 [1],3,0
2022.12.25 19:18,금투세 2년 유예 통과!!! [1],3,2
2022.12.25 14:43,배당 받지 마세요 [2],8,5
2022.12.25 23:28,배당 받지 마셩~ㅍㅎㅎ 남이사??,4,2
2022.12.23 22:01,한.미 기?금리 역전~배당랠리 까먹었다. [1],5,1
2022.12.25 08:17,한.미 기?금리 역전~배당랠리 까먹었다.,2,1
2022.12.25 08:37,한.미 기?금리 역전~배당랠리 까먹었다.,2,1
2022.12.23 20:16,배당락 맞고,7,3
2022.12.23 17:38,근데 여긴 민주당 밭임? [2],10,9
2022.12.23 15:07,다른 거 없다 [1],7,6
2022.12.23 13:47,오늘도 1등이네,2,1
2022.12.23 09:18,년말 양도세 회피물량 대량 출회,5,4
2022.12.22 10:30,왜 또 떨어지냐..,2,0
2022.12.22 09:37,배당을 얼마나 줄까요? [5],3,1
2022.12.22 09:03,역시나 [1],7,1
2022.12.22 09:24,역시나~개잡주 맞네..ㅋ,4,1
2022.12.22 07:13,내일쯤 빠지면 사보자. 맘대로 될까??,3,2
2022.12.21 00:07,[삭제된 게시물의 답글]며칠전에..식민지...,3,2
2022.12.20 12:46,앗 응애에요,1,0
2022.12.20 10:44,15만개를 매일 공매치는데 오르갔냐? [2],4,1
2022.12.20 10:25,헤깔려...,1,0
2022.12.20 08:38,코인판은 왜 저래.....,1,0
2022.12.19 12:36,내가 2주 팔았다. 폭등간다,6,1
2022.12.19 13:57,이제부터,2,1
2022.12.17 18:45,주가 떨어져서 손해인데.. [1],10,2
2022.12.17 12:39,[삭제된 게시물의 답글]이런 글 친일파 ...,4,1
2022.12.16 15:30,금리 인상 중단~ㅎ 누가 그래??,4,0
2022.12.16 20:18,"금리 인상 중단~외인들, 금융주 파는 이...",3,1
2022.12.17 10:00,"금리 인상 중단~외인들, 금융주 파는 이...",2,1
2022.12.16 13:21,좋은건지 나쁜건지 [2],3,2
2022.12.16 13:15,야 제주은행은 상친다 [2],3,1
2022.12.15 16:04,주식 고수들은 이런거 안산다,8,2
2022.12.15 15:44,4일연속 동시호가 하락,7,3
2022.12.15 14:16,긴축지속,4,0
2022.12.15 14:15,미 파월의장 [2],5,2
2022.12.16 07:55,미 파월의장~대단하다. ㅎ,3,0
2022.12.15 09:02,오늘도 앞장 서서 총대 메네,2,1
2022.12.15 05:42,자자 ~ 이제불행 끝 [1],6,4
2022.12.14 13:03,잡주의 조건을 갖춘 KB 금융지주,5,1
2022.12.14 12:06,5년째 장투주주 죽고싶다 [8],8,3
2022.12.14 13:00,5년째 장투주주 죽고싶다 [2],3,0
2022.12.14 08:52,kb 같은 비인기 종목에 구데기 2마리 ...,2,0
2022.12.13 22:20,악플도배 10분전 [1],4,1
2022.12.13 12:39,2022년 배당금 [4],14,1
2022.12.13 09:28,오늘 무적권 빨간불임 [1],6,4
2022.12.12 22:51,뱅크런 말고는,4,1
2022.12.12 22:24,여긴 생각보다 띨띨쓰가 많네. [1],4,3
2022.12.12 15:21,개미들 꼭대기에 매달아놓고 쉴려고 기관들... [4],6,3
2022.12.12 12:37,이거머 상상 이상으로 잘 하네요,2,0
2022.12.12 10:27,금융주 상승 이유~배당만이 아님..,8,1
