datetime,title,up,down
2022.12.29 17:01,중국 관광객 증가에 수혜주,2,1
2022.12.29 16:28,중국인들...,2,0
2022.12.29 15:11,코스피가박살날수록 [1],4,0
2022.12.29 14:07,대다나다!!,4,2
2022.12.29 12:49,케티엔지,15,1
2022.12.29 12:40,형님들…,5,0
2022.12.29 12:39,배당금 5500원예상 [1],4,2
2022.12.29 12:27,배당락 안떨어지고 외국인 매수 지속 [1],7,0
2022.12.29 11:59,배당락 이후 안떨어지는건 수상..뭔가 있... [2],5,1
2022.12.29 10:54,G20국가중 한국 주가 하락율 최고 [3],8,1
2022.12.29 10:22,앞으로의 전망 [1],4,1
2022.12.29 10:18,주린인데 지금 사도 되요? [3],6,1
2022.12.29 09:39,분위기 바뀌었네요 [1],7,1
2022.12.28 21:00,내일 [1],5,0
2022.12.28 20:32,찬스다,6,1
2022.12.28 19:43,김진태사태의 의미 [5],12,9
2022.12.28 18:23,오늘 외국인들 되게 많이 샀네 ㄷㄷ,8,2
2022.12.28 17:46,부자아빠 말 듣고 오늘 산애들은 모지? [1],4,3
2022.12.28 16:54,자사주 취득 결과 다 샀단 얘긴데 이제 ...,4,0
2022.12.28 16:50,내일장이 참 궁금합니다 ㅋ,6,0
2022.12.28 15:56,금일 외국인 순매수 1위종목 [3],17,1
2022.12.28 15:27,자사주 매입 [1],5,0
2022.12.28 14:05,오늘팔면 배당나오나 [2],5,1
2022.12.28 13:33,외인 쓸어담는다. 1월폭등,7,1
2022.12.28 13:25,7간다는 애들은,5,1
2022.12.28 12:43,음,6,5
2022.12.28 11:25,2022년 모두 수고하셨습니다,13,0
2022.12.28 11:09,두번째 글을 적으면서... [2],7,3
2022.12.28 10:40,ㅋㅋㅋㅋ [1],5,2
2022.12.28 10:17,뭐냐 [3],4,2
2022.12.28 10:06,지금살때 [3],4,2
2022.12.28 09:53,어제 샀는데요 [1],3,2
2022.12.28 09:44,오늘 금융주도 빠지는게,2,0
2022.12.28 09:43,오늘이 배당락인가요?? [2],2,0
2022.12.28 09:29,배당락충들 어리둥절,6,4
2022.12.28 09:17,이정도면..,4,3
2022.12.28 09:08,한국에 배당락이 왜있는지 모르겠음 [1],5,1
2022.12.28 09:08,다 좋은데 년배당주의 문제점이 이거임 ;...,4,0
2022.12.28 09:04,오늘 배당락? [2],3,1
2022.12.27 23:08,뭔가가 있는듯 [2],10,5
2022.12.28 08:08,뭔가가 있는듯,2,1
2022.12.27 21:24,이 주식이 뭐가 좋아요? [2],4,2
2022.12.27 19:56,헉 외인들만매수. [1],3,1
2022.12.27 17:56,내년에 불꽃쇼할건데,8,4
2022.12.27 14:38,이제와서 뭔 배당타령하세요,9,0
2022.12.27 13:35,소액주주는 인삼공사 주식 받는 게 이득인... [1],2,0
2022.12.27 13:24,"그냥., [3]",7,0
2022.12.27 11:32,배당락 이후 추매 계획인데... [5],11,5
2022.12.27 11:27,배당받으려면 오늘 사가지고 갖고 잇으면 ... [1],5,0
2022.12.27 11:19,외인들 7거래일째 순매수 행진,11,1
2022.12.27 09:49,내가 반등줄때 팔라고 그렇게 노래를 불렀... [1],9,1
2022.12.27 09:48,자사주 매입 끝?,3,1
2022.12.27 08:53,소각없는 자사주 매입은 앙꼬 없는 찐빵이... [1],5,1
2022.12.27 08:21,하방으로 가는 차트에,3,2
2022.12.26 19:16,장기보유 중인 주주들은 의결권 행사 잘하...,10,1
2022.12.26 18:12,결국 백복인이가 문제구만....,18,2
2022.12.26 17:16,행님들 매수가 추천드립니다 [2],11,7
2022.12.26 16:20,근데 어찌 개미들만 팔고 있지? [4],5,1
2022.12.26 15:30,한번 물리면..,9,3
2022.12.26 12:35,배당금. 재매수 !,2,1
2022.12.26 11:38,진짜 마인드에 문제가 있구나... [1],9,1
2022.12.26 11:29,이리 떨어지면 [1],6,0
2022.12.26 10:58,"음, 환율의 흐름과 같이 봐야하는 주식",4,2
2022.12.26 10:38,올해도 어김없이 배당락 찾아오겠죠? [3],6,2
2022.12.26 10:12,내 머랬노 하락 추세라니깐,7,4
2022.12.26 10:07,벌써,1,0
2022.12.26 07:56,KT&G 내년 시나리오는...인삼공사 상... [1],3,0
2022.12.25 20:43,KT&G 악재 [1],12,8
2022.12.23 21:50,Kt&g는 이제 외국계회사가 최대주주 [3],13,5
2022.12.23 11:27,내려가요옷 [3],5,4
2022.12.23 11:22,줄때,5,4
2022.12.22 23:03,일희일비 하지맙시다.,11,7
2022.12.22 17:49,"금투세 2년 유예, 대주주 기준 10억 ...",14,5
2022.12.22 17:19,94500 에 난 쓸어 담았다 [1],6,2
2022.12.22 15:54,장기주식 보유자들은 주주총회 참석좀 해주... [1],8,3
2022.12.22 14:53,장난질 오지네,9,2
2022.12.22 14:45,아침장에,4,1
2022.12.22 14:45,초심을 잃지 말자 [2],5,1
2022.12.22 14:39,거지 같은 주식 배당으로 건보폭탄,2,1
2022.12.22 14:38,"내가 오전에 그랬지.,",3,0
2022.12.22 14:34,KT&G 안티들에게... [1],12,3
2022.12.22 14:30,오늘 [2],9,0
2022.12.22 14:08,내일도 떨어지려나? [1],3,1
2022.12.22 14:06,털린사람손? [1],10,1
2022.12.22 14:05,아깝다! [1],7,0
2022.12.22 13:58,조언질하는루저들~,1,0
2022.12.22 13:55,??? [1],1,0
2022.12.22 13:38,안티든 찬티든~ [2],5,1
2022.12.22 13:27,행동주의펀드와 공매도 싸움??,1,0
2022.12.22 13:18,행동주의 펀드가 왜 나쁘다고 생각함?,8,1
2022.12.22 13:05,배당락도 아닌데 주가부양좀하세요,6,3
2022.12.22 12:49,벌써 배당락 맞은거야?,5,0
2022.12.22 11:43,10만이 금성철벽인거지 뭐,6,1
2022.12.22 11:26,배당락이야?,2,0
2022.12.22 11:25,프로그램 매수로전환,5,1
2022.12.22 10:42,이또한..,7,5
2022.12.22 11:16,비싼밥 처먹고 할짓이 없나,4,1
2022.12.22 10:12,담배.홍삼.배당 [4],15,4
2022.12.22 09:59,고작 10만주로,9,0
2022.12.22 09:53,팔고 예금으로 이동했다...,6,1
2022.12.22 09:41,오늘 배당락일임?,4,0
2022.12.22 09:41,역시 인버스ㅋㅋㅋㅋ,2,1
2022.12.22 09:22,내가 kt&g로 안정적으로 돈버는 방법을... [1],6,3
2022.12.22 09:20,왜긴 자사주가 받아줄때 외인 물량 터는거...,3,1
2022.12.22 09:15,오늘 배당락이냐? [2],5,1
2022.12.22 09:14,배당락을 미리하는가? [1],1,0
2022.12.22 09:07,하한가 갑니다 [2],4,0
2022.12.21 16:51,외인은 오늘도 순매수,5,0
2022.12.21 16:13,주주 권리행사 촉구를 위한 의결권 위임 ... [5],23,1
2022.12.21 15:38,이럴거면 배당 안하는것이 더 낫다. [4],18,5
2022.12.21 15:33,20일선에서 밀리는 추세네요,9,1
2022.12.21 14:42,자사주로 받아줄때 팔아라 ㄷㄷ,8,3
2022.12.21 13:38,매도세보니!!,6,3
2022.12.21 13:05,ㅋ ㅋ,4,1
2022.12.21 13:00,배당락이후,5,3
2022.12.20 15:05,막판 동호가 크게 함 올려봐라,7,2
2022.12.20 13:41,미래를 아는 진도준이라면 [1],4,1
2022.12.20 12:38,그냥..,5,0
2022.12.20 12:05,내년엔 코로나 이전 시세 106000에서...,5,2
2022.12.20 11:23,10만 한번만가줘요,3,1
2022.12.20 11:14,어제 20일선 손절한분들 [4],8,4
2022.12.20 10:42,UBS형님들 돌아왔는데 다들 떠나시는거에... [1],4,0
2022.12.20 10:14,그동안감사했습니다,6,0
2022.12.19 23:03,즐거웠다 케텐지,7,2
2022.12.19 22:29,진짜 힘든 [2],2,1
2022.12.19 19:55,나는 이 주식이 최고다! [1],8,2
2022.12.19 14:55,배당포기 [3],19,3
2022.12.19 11:09,배당락 전에 기관들 사전에 빼네...,16,2
2022.12.19 09:29,배당 [5],11,1
2022.12.19 09:27,2월까진 하락이지,6,5
2022.12.18 16:32,다음주 20일선 지지가 관건 [1],9,6
2022.12.17 11:33,안녕하세요 주린이입니다.. [5],5,4
2022.12.16 23:07,요즘 날씨 왜이렇게 춥나요.. [4],4,3
2022.12.16 13:17,[KT&G] 새벽에 좋은 소식이 있었던 ...,8,2
2022.12.16 12:27,지속적으로 아침부터 누군가 판다,3,0
2022.12.16 10:52,근데 확실히 정관장 상장하면,5,1
2022.12.16 10:44,금년 4분기 및 내년 실적 추정치 상향 ...,3,2
2022.12.16 10:44,이제 당분간 하락으로 전환?듯,3,1
2022.12.16 09:05,진짜 평온하다 ktng,5,4
2022.12.15 15:28,"예산안 타결, 금투세 유예 및 양도세 기... [1]",8,3
2022.12.15 13:50,자사주 12% 소각좀요 [1],5,0
2022.12.15 12:28,내년에 담배값 올릴꺼 같음,4,0
2022.12.15 07:51,[KT&G] 새벽에 좋은 소식이 있었던 ...,4,1
2022.12.14 22:31,자사주매입 속도보니 [2],9,0
2022.12.14 21:37,윤짜장의 정찌란 [5],19,15
2022.12.14 18:45,자사주~~ [2],5,1
2022.12.14 18:33,물적분할과 인적분할을 비교하여 정리한 내...,2,0
2022.12.14 17:00,KT&G 넌 얼마가 될 상인가? 사? 팔...,1,0
2022.12.14 13:19,배당일이 언제인가요? [1],2,1
2022.12.14 10:22,[KT&G} 투자를 별로 안해도 해마다 ...,11,3
2022.12.13 20:10,내년초 담배가격 인상 가능성 [7],7,3
2022.12.13 20:05,[KT&G] 상향 안정화 추세로 자리잡을... [2],13,2
2022.12.13 20:22,[KT&G] 상향 안정화 추세로 자리잡을...,4,1
2022.12.13 18:18,Again 2006,7,0
2022.12.13 15:37,10만원 넘기가 이리 힘드냐?? [1],8,1
2022.12.13 12:05,지지선이 두터워야 유리하죠. [1],13,1
2022.12.13 09:45,잘 읽어보세요^^ [2],6,2
2022.12.13 09:35,니들이 가진 주식 의결권 잘 써라,4,0
2022.12.13 09:31,삼성경제연구소 [2],3,2
2022.12.12 20:10,년말종가 [1],10,3
2022.12.12 19:12,아랍에 한류,5,2
2022.12.12 16:08,곧 [2],10,1
2022.12.12 15:11,와 하락장에 이거사서 묵힌 사람이 승자네,7,0
2022.12.12 13:17,코로나이전 가치로 [1],12,2
2022.12.12 12:24,실적 향상,9,2
2022.12.12 12:22,가,2,1
2022.12.12 11:57,이번주 목표가,7,2
2022.12.12 10:57,금주 대주주 기준 상향시 수혜 예상 [3],9,3
2022.12.12 10:02,자회사인 영진약품 주가 급등 [1],4,1
2022.12.12 09:37,심각한 무역적자. 그런데 뉴스가없다. 윤... [6],22,12
2022.12.12 09:35,배당 나오는데,4,2
2022.12.09 21:21,KT&G 향한 행동주의 펀드 속내는..,3,0
2022.12.09 18:28,"FCP, 백복인 KT&G 사장에 공개토론... [1]",9,0
2022.12.09 17:10,개혁이 필요합니다,8,0
2022.12.09 11:21,현재 배당 미반영-> 더 상승 [1],9,1
2022.12.09 10:19,내가 그랬지?,4,1
2022.12.09 10:05,10만원 진입시 주가 상승 속도 5배 빨... [2],17,2
2022.12.09 08:47,[삭제된 게시물의 답글]하한가 [1],3,1
