datetime,title,up,down
2022.12.25 23:59,거꾸로 매달아도 28만원 넘어간다..,1,0
2022.12.25 20:18,1년전,3,2
2022.12.25 19:09,넌 주식하지마라 평생 마이너스계좌일테니,5,3
2022.12.25 16:36,돈을 잘 벌어가는 사람들은 일단,10,1
2022.12.25 14:39,국힘 댓글부도 무섭다 게시판 마다 도... [5],9,7
2022.12.25 14:24,민주당 10억 대주주 고집 = 떡락 [1],3,1
2022.12.25 13:59,이 주식 성남 fc땜에 떨어짐? [2],3,0
2022.12.25 13:54,스킷 브레이크 & 싸이드카,1,0
2022.12.25 13:23,사장교체 [1],2,1
2022.12.25 12:01,찌린내나는 주주들아 다들 마이너스 몇펴냐... [2],2,1
2022.12.25 11:14,~~앞으로 주식투자자들이 할 일은 ?,5,3
2022.12.25 10:40,~~가족주식 10억 넘어도 양도세 안낸다... [2],7,0
2022.12.25 10:29,가족합산 10억은 폐지한다니 [1],5,1
2022.12.25 08:04,세금왕 민주당 [4],17,5
2022.12.25 05:32,~~주식투자자들의 적은 민주당 ! [4],22,8
2022.12.25 05:20,대선 때의 나~! 미네르바의 예측이 현실... [3],6,5
2022.12.25 00:08,얼마나 주식이 허접하면 좀만 팔아도 나락...,2,1
2022.12.25 00:05,명지대 구급차 콜택시로 쓴 더불어참사당 [2],8,7
2022.12.24 22:40,곧 22만원까지 간다 기달기라,9,2
2022.12.24 20:57,"검찰, '성남FC 후원금 의혹' 제윤경 ... [2]",5,2
2022.12.24 17:51,다음주부터 분할매수 시작해본다. [1],6,1
2022.12.24 17:08,미장 오른거 알지..!,5,0
2022.12.24 16:50,네이버 믿는다.,7,0
2022.12.24 16:04,윤석열이 공매도 금지만 시켰어도 주가 3... [3],5,3
2022.12.24 17:11,[삭제된 게시물의 답글]윤석열이 공매도 ... [1],5,1
2022.12.24 20:54,[삭제된 게시물의 답글]윤석열을 탄핵해야...,5,1
2022.12.24 10:05,금욜 종가 178000 입성.. [2],11,9
2022.12.24 09:46,"이태원유가족은 왜 이임재, 신현영에게 분... [5]",13,7
2022.12.24 08:04,"~~금투세 2년유예, 이젠 공매도도",8,1
2022.12.24 07:33,지금이 저가매수 할 골든타임이다 [1],7,5
2022.12.24 04:36,안티들아 [2],3,2
2022.12.24 04:25,월요일에,4,2
2022.12.24 00:59,윤석렬 탄핵해야 [3],23,19
2022.12.23 23:29,사탄랠리 ~,5,0
2022.12.23 22:43,2020년 9월8일 pd수첩 [4],17,7
2022.12.23 22:14,포쉬마크 인수로 2024년부터 재차 성장...,3,2
2022.12.23 20:18,최근 김만배가 주변인들한테 전한 말.. [1],17,14
2022.12.23 20:17,한명숙사건 위증교사한 검사일당 대장동수사... [2],13,0
2022.12.23 20:16,최수연 낯짝에 침이라도 뱉고싶다 [1],7,4
2022.12.23 20:08,대장동의 진실은 억지수사,11,7
2022.12.23 20:03,"""광화문광장에 윤석열 동상 세우겠다""…'... [1]",1,0
2022.12.23 20:01,"""누리호 개발조직 사실상 해체""…고정환 ...",7,3
2022.12.23 19:58,"'고발사주' 보도 당일 대검, 증거인멸 ... [1]",3,1
2022.12.23 19:27,석열이 소원이 뭐게? 이재명 바이든하는거... [3],5,3
2022.12.23 18:56,연말에 네이처럼 배당미미 하거나 배당없는...,3,0
2022.12.23 18:14,공매도 132兆 사상 최대…개미는 ‘피눈... [1],7,0
2022.12.23 16:58,진바닥은 120.000 [1],8,3
2022.12.23 16:11,주주들 연대해서라도 대표 교체하십시오. [2],18,1
2022.12.23 16:11,매번 꼬라박는건 1등 [1],6,0
2022.12.23 16:06,지나가는 객 ^^ [1],4,1
2022.12.23 16:03,시외사고 월요일 팔고 나오면 ..,1,0
2022.12.23 15:57,대주주 양도세,8,6
2022.12.23 15:53,민주당. [1],9,4
2022.12.23 15:49,대표교체해라,8,0
2022.12.23 15:34,대표가 허수아비인데,6,0
2022.12.23 15:21,당분간 1~2년주식 쉬어라 [1],3,1
2022.12.23 15:14,대표야..주식이 쓰레기야? [1],5,0
2022.12.23 15:08,종가 177500 [1],3,1
2022.12.23 14:58,대표를 탄핵시켜라 ? [1],5,0
2022.12.23 14:56,12월 [2],1,0
2022.12.23 14:51,18까지깨고 [3],1,0
2022.12.23 14:34,물러나라 [1],5,0
2022.12.23 13:29,김건희같은 주가조작하는 애들 [2],12,5
2022.12.23 13:15,윤재앙 관련 특정 단어 막아 놓은 네이버 [1],10,7
2022.12.23 12:52,우리 사장님 보시요 !!!,2,1
2022.12.23 12:48,갈수록 태산. 한계점에 왔다. [1],7,1
2022.12.23 12:47,오르지도 내리지도,4,0
2022.12.23 12:47,연기금은 최대주주로서 최수연,7,1
2022.12.23 12:40,걍 주봉보고,3,0
2022.12.23 12:38,공매도 힘내라~~힘,2,0
2022.12.23 12:37,7천..,1,0
2022.12.23 12:37,진짜 [1],3,1
2022.12.23 12:15,이제 진짜 못해먹겠다 [1],17,0
2022.12.23 12:06,어디가 바닥인가요? [2],1,0
2022.12.23 12:06,어휴 이 개쓰기레같은 회사 [2],5,1
2022.12.23 12:01,다왔다 [1],1,0
2022.12.23 11:48,어제 들어간 사람 [2],1,0
2022.12.23 11:47,개잡주 155000 쌍바닥 확인 가주아~,2,0
2022.12.23 11:26,ㅋㅋㅋ.. [1],2,0
2022.12.23 11:23,1790 1820 무한반복 [1],2,1
2022.12.23 11:21,대주주 [3],1,0
2022.12.23 11:21,내리면 더 조은거 아녀 [1],1,0
2022.12.23 11:08,내 태어나서 [1],3,0
2022.12.23 10:51,안물려 있는분들 [3],2,0
2022.12.23 10:45,박스권 매수대기 2,1,0
2022.12.23 10:36,다음주 나스닥 만 깨진다 패닉셀 올겨 ....,1,0
2022.12.23 10:14,경상도,1,0
2022.12.23 10:13,돈들이 다 날 피해가,1,0
2022.12.23 10:12,주가에 놀라 방구를 꼈는데 [1],1,0
2022.12.23 10:11,주가 반토막 냇으면,3,1
2022.12.23 10:10,더이상은 ㅠㅜㄴ [1],3,1
2022.12.23 09:56,20만원언제가냐!!~~시부레~~,1,0
2022.12.23 09:55,이런 닷컴 버블주식이 꺼져버려야,1,0
2022.12.23 09:49,괴로운심정어찌하나 [1],2,0
2022.12.23 09:52,술한잔 했습니다,3,0
2022.12.23 09:25,거 희망은 좀 자제하시죠....,2,1
2022.12.23 09:15,17만원대~~~~~~~~~아가리 [2],1,0
2022.12.23 09:13,총알 대기중~~~~~~~~~~~~~~~~...,4,0
2022.12.23 09:12,오늘종가 어제종가까지만 말아올리자~~,1,0
2022.12.23 09:07,식민개돼지들에게 -,1,0
2022.12.23 08:58,일단 시작하자마자 상승분 반납 [1],1,0
2022.12.23 08:32,떡락 맞이 [1],3,1
2022.12.23 06:37,어제 좋았지? 어제는 개오바했어 ....... [1],4,2
2022.12.23 06:27,잠시 좋았제들?,1,0
2022.12.23 06:06,18 [1],5,0
2022.12.23 03:20,김건희 작전주 도이치모터스로 10억벌어 [4],10,6
2022.12.23 00:30,실업자청구가 조금좋게 나와 나스닥빠지네 [3],3,0
2022.12.22 23:53,내일은 위험해요,10,3
2022.12.22 23:31,해외증시 떨어지내...,3,1
2022.12.22 23:10,주식시장에도 한파가 왔구나,2,0
2022.12.22 23:01,당근마켓 한국시장 시총1.3조ㅋㅋ [3],10,2
2022.12.22 21:46,나스닥 또 빠지네 쓰바꺼,5,1
2022.12.22 23:02,[삭제된 게시물의 답글]진짜 죽고싶다 [1],3,0
2022.12.22 21:15,네이버가 쿠팡 잡으면 끝나는거지~ [4],4,0
2022.12.22 19:06,[삭제된 게시물의 답글]포쉬마크 조기인수,1,0
2022.12.22 18:57,금투법 [1],2,1
2022.12.22 18:09,공매도와 상속세,1,0
2022.12.22 17:58,네이버 `도착보장` 서비스,3,1
2022.12.22 17:19,위에 물량이 빠져야지 올라갈듯,1,0
2022.12.22 16:35,이거 또 19만원 쯤에서 폭락한다 [3],4,3
2022.12.22 16:32,산타야 어서와,1,0
