datetime,title,up,down
2022.12.26 22:28,삼성생명 주주들은 죽어나는데 [2],11,1
2022.12.26 16:17,알바들이 총공격이구나 [1],20,2
2022.12.26 13:44,대주주양도세 매물 거의 다 나온듯 [1],9,4
2022.12.26 13:06,주는대로 써대는 기레기 [1],5,1
2022.12.26 13:00,유안타증권 리포트 [7],24,1
2022.12.26 12:39,개XXXXX일가 몽땅 XX하기를,5,1
2022.12.26 12:15,재벌집 막내아들을 보고 느낀점 [3],13,7
2022.12.26 11:54,개XXXXX일가 몽땅 XX하기를,6,1
2022.12.26 11:31,지긋지긋한 삼성,5,3
2022.12.26 11:17,극한의 이익만 추구하는 재용이 정신차리라 [1],9,4
2022.12.26 11:04,박용진 삼생법 통과 의지,7,2
2022.12.26 10:21,드라마가 원작 비해 용두사미로 끝나 넘 ...,6,2
2022.12.26 10:11,배당!,10,1
2022.12.26 10:07,삼성생명법 통과는 당연한 수순!,14,2
2022.12.26 10:06,언론플레이와 권성동의 이야기를 들어보면 [1],6,3
2022.12.26 09:03,10년전 공모가도 회복 못했는데 [1],5,2
2022.12.25 17:35,큰 돈 벌었으니.......,15,11
2022.12.25 00:02,내가 젤루 사랑하는 자식이 누군지 니 모...,4,3
2022.12.24 08:47,돈밖에 없는회사 무엇을 걱정하리.. [3],11,4
2022.12.23 13:54,신경 끄고 가만있으면 [1],12,5
2022.12.23 13:18,인버스네ㅋ,5,4
2022.12.23 12:44,목표가 85.000원?,8,6
2022.12.23 09:32,범죄자 이재용 즉시 구속하라고,6,3
2022.12.23 08:58,삼생 목표가 상향 리포트...기사,4,0
2022.12.23 08:58,양봉 큰거 나올 차례,6,3
2022.12.23 07:50,언론들과 애널들 [1],10,5
2022.12.22 22:27,금감원은 드래곤편인가요? [2],18,10
2022.12.22 22:53,고수네~,4,3
2022.12.22 22:06,민주당은 씨를 말려 버려야 합니다! [1],17,11
2022.12.22 22:05,★국민들 발목 잡기하는 민주당 다음 총선... [5],23,11
2022.12.22 20:37,삼성생명 법 [2],5,4
2022.12.22 15:05,공매도애들....,11,6
