datetime,title,up,down
2022.12.26 18:16,경영진들 자존심이 있으면,3,0
2022.12.26 16:02,다른거사라,2,0
2022.12.26 15:15,배당 4%??? [2],4,0
2022.12.26 13:59,tera야 니가 처물린 sk스퀘어 손절했... [1],4,1
2022.12.26 12:48,음...2030 엑스포 유치을 위해 뛰는...,2,1
2022.12.26 12:17,최태원 9000원배당 원한다=그이유 [3],8,7
2022.12.26 12:35,태원이가 헛소리 좀 엥간히 싸지르래,1,0
2022.12.26 12:16,배당 2% 예상,3,1
2022.12.26 11:11,"SK 호재몇가지=에어플러스,E&S,배당 [2]",10,5
2022.12.26 10:31,외인연속매수엔캠프로그램매수엔켐￦실적사상최... [1],12,1
2022.12.26 04:29,동남아 투자 손절 [2],6,1
2022.12.25 15:58,정말 쓰렉회사로 만들것인가?,12,0
2022.12.23 21:15,"■희소식,,,,,내 주식 오늘 다 대여 ...",1,0
2022.12.23 15:59,살려주세요~~~~~~,2,1
2022.12.23 23:58,살려주세요~~~~~~,2,1
2022.12.23 15:39,미리 메리크리스마스 -★,4,0
2022.12.23 15:36,開小利馬 市發老馬,2,0
2022.12.23 13:37,tera는 꼭 이거 봐라 [1],6,0
2022.12.23 11:36,개미꼬시는 글만 가득하네ㅋㅋㅋㅋ공매견들,2,0
2022.12.23 12:07,足家之馬,2,0
2022.12.23 10:47,진짜 쓰레기네!,1,0
2022.12.23 10:35,[삭제된 게시물의 답글]開小利馬 市發老馬,1,0
2022.12.23 10:14,tera 글보니 오늘도 공매도 10% 이...,3,0
2022.12.23 10:12,주가관리나 해라 법인세 어쩌고 할시간에,1,0
2022.12.23 08:51,"난 오늘도 매수함,,,왜?저카라",1,0
2022.12.23 08:42,개 쓰 레 바같은 sk,1,0
2022.12.23 07:23,Tera글 사실임? [1],1,0
2022.12.23 06:45,노 관장,2,0
2022.12.22 20:47,자사주매입끝난것 같아요 신청내용이없네요,1,0
2022.12.22 20:01,1%법인세 인하로 SK 2.91%순익증가 [3],2,1
2022.12.22 19:12,결혼직후 주식가치와 현재의 주식가치가 다... [2],2,0
2022.12.22 17:03,SKE&S시장가치=13.64조원SK줏어라 [3],6,4
2022.12.22 15:29,sk 몰빵 했습니다. 비중 85% [2],16,8
2022.12.22 15:26,쩌리 삼대장 중 1등 [2],2,0
2022.12.22 14:36,저무거운 삼성도 [1],1,0
2022.12.22 14:27,이렇게 못가는것도 재주네 ㅋㅋ [1],2,0
2022.12.22 13:54,[삭제된 게시물의 답글]足家之馬,2,0
2022.12.22 12:30,"125,000 [4]",3,2
2022.12.22 13:58,[삭제된 게시물의 답글]足家之馬,1,0
2022.12.22 11:07,주가 너무 저조,2,0
2022.12.22 13:59,[삭제된 게시물의 답글][삭제된 게시물의...,1,0
2022.12.22 09:59,[삭제된 게시물의 답글]開小利馬 市發老馬 [2],3,1
2022.12.22 09:04,윤석열이 기업 투자만 요구하니~ㅋㅋㅋ,2,0
2022.12.21 21:16,자사주 매수 [1],2,0
2022.12.21 19:52,주구장창 떨어질 SK의 주가!! [2],17,1
2022.12.21 17:26,왜 자꾸 글을 지우냐sk [1],10,1
2022.12.21 16:32,대기업 오너들은,8,0
2022.12.21 15:44,자사주 매입 끝났으니,5,3
2022.12.21 15:10,자사주 매수관련 간단한 정리와 comme... [8],31,0
2022.12.21 14:53,오늘 자사주 마감~~~,6,0
2022.12.21 14:43,198500 입성 [3],3,2
2022.12.21 14:36,자사주 매수도 거의 끝나가고 돼질 일만 ...,3,1
2022.12.21 14:33,"10월 17일 종가 198,500",2,0
2022.12.21 14:16,태원아 [1],7,0
2022.12.21 14:14,미친 종목이네 ㅋㅋㅋㅋ [1],3,0
2022.12.21 13:58,물타서 -8% 하... [1],3,1
2022.12.21 13:51,배당후 하락이 진짠데 아직 아파하지 마세... [2],5,2
2022.12.21 13:46,꿈도크지,6,0
2022.12.21 13:42,아직도 sk에 희망을 갖는 호구는 없제. [2],6,0
2022.12.21 13:36,"최태원, 장동현씨 [2]",5,0
2022.12.21 13:26,최저가로 가나? [1],3,0
2022.12.21 13:18,"신한투자증권, 그리고 공매도 [2]",2,0
2022.12.21 13:14,200만원 언제가니 [3],2,0
2022.12.21 13:13,역대급 [1],2,1
2022.12.21 12:49,포스코 진짜 강하다 [2],2,1
2022.12.21 12:25,"■200만원까지 180만원 남아시다,,,...",2,0
2022.12.21 11:17,최근 3일 공매도비율 [1],2,0
2022.12.21 12:16,[삭제된 게시물의 답글]開小利馬 足家之馬,1,0
2022.12.21 12:21,[삭제된 게시물의 답글]開小利馬 市發老馬 [1],2,0
2022.12.21 10:26,리튬이나 투자해라,1,0
2022.12.21 10:21,가ㅣc발노무sk [1],4,0
2022.12.21 10:17,오랜만에 또 알려줘야대? 아직도 스크에 ...,1,0
2022.12.21 09:56,대단한 장동현,1,0
2022.12.21 08:33,■♡■오늘도 난 혼자라는 기분이 아니라 ... [2],4,2
2022.12.20 21:01,수소경제 막던 규제 족쇄 풀렸다 … 세...,11,3
2022.12.20 17:51,여기서 [1],8,3
2022.12.20 15:46,오늘도 공매도 맛집.,4,0
2022.12.20 15:10,이번주 금요일까지 16 [1],3,2
2022.12.20 14:57,망해라 에스케이 [1],2,1
2022.12.20 14:06,내 무습다 ㅠ,2,1
2022.12.20 14:04,20만 깨지면 [1],5,1
2022.12.20 13:47,하 내돈 [4],8,0
2022.12.20 13:24,곧 17만원온다. 손절하고 기다려라. [2],9,5
2022.12.20 12:45,염구라 믿고샀나요? [1],10,0
2022.12.20 13:56,염구라 믿고샀나요?,1,0
2022.12.20 12:34,아오 진짜,7,0
2022.12.20 12:28,이번 달도 물타기,3,1
2022.12.20 12:17,플러그 파워 투자 [1],3,1
2022.12.20 12:00,Sk e&s 실적이 얼마나나왔는데 [1],3,0
2022.12.20 10:41,배당 끝나면 줄하락 시작,2,0
2022.12.20 10:32,전정권에서는 과도한 주가하락을 [1],6,5
2022.12.20 09:05,SK 그룹 자체가 맛이 간거같고 [3],6,1
2022.12.19 22:30,정략결혼,6,1
2022.12.19 18:33,기여도 얘기하는 애들은 뭔 정신이냐 ㅋㅋ [1],7,3
2022.12.19 16:48,이혼 이슈가 주가에 영향이 있을지? [3],8,3
2022.12.19 16:19,삼성가서,2,0
2022.12.19 15:25,오랜만에 물타기....,2,0
2022.12.19 15:09,진정한 사랑을 찾았다며 [1],3,0
2022.12.19 11:07,"[속보] 노소영, '665억 재산분할' ...",6,2
2022.12.19 11:13,무조건 반반 줘야함,8,0
2022.12.19 10:58,아무리봐도 장뭐시기가 [1],3,0
2022.12.19 10:52,"■노관장 홧팅,,,응원합니다,,,노소영,... [2]",7,1
2022.12.19 03:41,발 빼는 장동현 OOO [2],11,0
2022.12.18 17:00,염블리’ 염승환 “장기투자? 한국 주식에... [3],14,0
2022.12.17 21:23,내년에는 [2],8,1
