datetime,title,up,down
2022.12.26 23:28,물 탄 나를 칭찬한다! [3],4,0
2022.12.26 22:47,안티들은 왜이리 차트차트 [1],10,0
2022.12.26 22:22,지엠 2025년 EV 100만대?,19,1
2022.12.26 20:51,참 어이없네,13,0
2022.12.26 19:57,"포스코 케미칼, 세계 전기차 배터리 최강... [1]",34,8
2022.12.26 19:07,10억 대주주 내일까지 매도인가요 [2],1,0
2022.12.26 22:41,10억 대주주 내일까지 매도인가요,1,0
2022.12.26 19:02,외.기 엄청 담았네? [4],4,0
2022.12.26 18:12,장기추세 살아있고 [2],5,1
2022.12.26 17:32,GM 2025년 까지 전기차 매출 500... [5],25,3
2022.12.26 17:19,포스코 수산화리튬 생산 준비 끝,17,3
2022.12.26 17:19,포케.걱정안해도 [1],15,3
2022.12.26 16:49,포스코케미컬을 GM과 앞으로는 FORD와... [1],21,2
2022.12.26 18:57,테슬라가 빠지면 엄청난 파격을주다,4,0
2022.12.26 16:40,공매도 비중 2.12% 역대최저급,8,0
2022.12.26 15:59,낼 배당땜에 더 상승 하겠지만 [1],5,1
2022.12.26 15:59,2022년 12월 26일(월) 금일 매동 [1],19,1
2022.12.26 15:25,자 낼 20만,12,0
2022.12.26 15:24,아직도 모르십니까? [1],16,1
2022.12.26 15:13,어차피 넌 밑에서 못샀지?,2,0
2022.12.26 14:43,이제 막 개화하는 미국시장을 보셨으면 합...,7,3
2022.12.26 14:41,으흐흐 [1],2,0
2022.12.26 14:22,미국에 영하날씨 테슬라 충전 안돼 곤란,2,1
2022.12.26 14:44,미국에 영하날씨 테슬라 충전 안돼 곤란,2,0
2022.12.26 13:49,니가 일론머스크인지 아냐? pwse***... [2],10,0
2022.12.26 13:17,"### 신한,한투 - 또 장난질 하네",3,0
2022.12.26 13:00,1시에 정확히 다 사가시는구만 [2],1,0
2022.12.26 12:56,"오르는데 화나는건 처음이네, 짜증 [5]",15,9
2022.12.26 12:49,주말 아침에 [2],2,0
2022.12.26 11:44,"### 신한,한투 - 또 장난질 하네",3,0
2022.12.26 11:31,오늘 기관 엄청 매수하는데,1,0
2022.12.26 11:16,"오늘부터 공매도는 한강으로,,,쭉 [1]",7,1
2022.12.26 11:05,여긴 [5],1,0
2022.12.26 11:02,외인들 계약 소식 들었나,3,1
2022.12.26 10:53,pwse****아 [3],3,1
2022.12.26 10:50,"### 신한,한투 - 또 장난질 하네 [2]",3,0
2022.12.26 10:21,테슬라하고 20조 계약추진설 맞나요? [1],4,2
2022.12.26 10:16,내년 2월 까지 25만원 간다 [2],5,1
2022.12.26 10:03,전쟁을 치루는 나라보다..,3,0
2022.12.26 09:58,분명한 사실은....... [2],13,8
2022.12.26 10:08,분명한 사실은.......,5,1
2022.12.26 09:49,집대신 포ㆍ케~,1,0
2022.12.26 09:35,별별 지이라알 수를 다 써도 [1],10,0
2022.12.26 09:33,개 똥주,1,0
2022.12.26 09:22,오늘 날아가는 날이네,2,1
2022.12.26 09:10,공매도를 없애지 않는 이유는 뭔가?!,2,0
2022.12.26 09:09,"포스코케미칼, 美서 러브콜…완성차와 '양...",7,0
2022.12.26 09:08,오늘도 7분 짜리가?,2,0
2022.12.26 09:00,녹슨 마음을,1,0
2022.12.26 08:59,믿습니다,1,0
2022.12.26 08:43,오늘 상한가 한번가보자,6,2
2022.12.26 08:43,수주잔고 좋고 모기업든든하고,5,1
2022.12.26 08:26,허위사실유포 및 형사처벌대상 [3],16,1
2022.12.26 08:15,수율(양품률)문제..완성차업체 배터리 내...,11,1
2022.12.26 07:56,"바퀴벌레들의 향연,,",6,0
2022.12.25 23:33,부자는 [2],4,2
2022.12.25 23:01,요즘 날씨 정말.. 춥네요.. [1],2,1
2022.12.25 21:54,대주주 연좌제 폐지 한숨돌렸나.내년 미국... [1],27,6
2022.12.25 21:40,엉터리 [2],16,1
2022.12.25 20:58,낼 상한가 한번 가자. [1],17,4
2022.12.25 20:55,참,6,0
2022.12.25 20:39,2차전지 리포트 / 양극재 양극재 실적 ...,7,2
2022.12.25 20:20,호호호... [1],6,2
2022.12.25 20:20,내년 상반기 대규모 공급 계약 GM 합작... [3],31,3
2022.12.25 20:19,●뉴스에 팔아라. 왜? 원래 너거들에게 ...,3,0
2022.12.25 19:56,(한국경제) 포드계약 현실화 되나봅니다(... [1],10,2
2022.12.25 18:27,미국의 소비견조는 우리에겐 호재 FOMC...,6,2
2022.12.25 18:21,양극재 공급 [1],24,1
2022.12.25 17:34,잡물들,4,1
2022.12.25 17:12,테슬라 차트랑 비슷하네 [3],4,2
2022.12.25 16:22,이 기업과 함께 하고자 해서 주주가 되었... [2],20,2
2022.12.25 15:55,사명 바꾸고 분사한다고? [1],7,0
2022.12.25 15:31,엉덩이 무겁게..,5,0
2022.12.25 12:25,포스코케미칼~~~20만원 복귀 [1],13,0
2022.12.25 11:50,"대주주 연좌제 폐지, 24일 매수자가 승... [1]",14,1
2022.12.25 11:25,전기차 수요는 계속 급증중~~~,9,2
2022.12.25 11:05,대주주 양도세 가족합산 폐지할듯 [1],2,1
2022.12.25 08:10,"아침 YTN 포케 자원,,,",21,1
2022.12.25 06:55,하락장에서는백약이 무효임!,2,1
2022.12.25 02:00,충선에선 무조건 민주당 피해야 [3],38,11
2022.12.25 00:02,2018년 포켐일때 [1],21,2
2022.12.24 21:46,아무리 좋은재료 대박실적이라고 해도~~ [2],11,4
2022.12.24 19:36,50만원간다 다 ?려박는다.,2,1
2022.12.24 18:44,12/26 [1],3,1
2022.12.24 18:29,툭툭,14,2
2022.12.24 17:34,대주주10억 [1],8,3
2022.12.24 16:15,안티들 아무리 떠들어도 [1],14,5
2022.12.24 14:52,외국인 을 위한 주식시장,10,1
2022.12.24 13:46,엿투버들이 년말까지 30만원 간다고 했는...,2,1
2022.12.24 07:31,[삭제된 게시물의 답글]역대로 친일수구세...,5,3
2022.12.24 03:07,전기차는 충전 3분에 800키로주행 [1],3,1
2022.12.23 21:16,"법인세 인하, 주식 거래세 인하 [2]",11,10
2022.12.23 19:50,"대차상환 297,986주",6,0
2022.12.23 23:00,[삭제된 게시물의 답글]와 어이없네. [2],17,2
2022.12.23 17:47,GM 누구나 탈수 있는 전기차 만든다-포... [1],18,0
2022.12.23 17:28,공매도 [4],25,1
2022.12.23 17:18,민주당의 잘못되고 편협한 정책으로 대한민... [8],52,18
2022.12.23 22:59,민주당의 잘못되고 편협한 정책으로 대한민...,6,0
2022.12.23 17:29,열받아 국회의원 사무실에 전화했음 [4],28,1
2022.12.23 16:59,테슬라 망한다고.. [1],6,0
2022.12.23 16:29,매수가204000 [5],7,0
2022.12.23 16:21,개민주당들이 오늘 사탄렐리 장세를 연출,13,1
2022.12.23 15:53,즐거운 크리스마스 되세요.. [25],42,1
2022.12.23 16:09,즐거운 크리스마스 되세요..,1,0
2022.12.23 15:50,오빠 다시왔다,1,0
2022.12.23 15:40,동장군 찾아와,2,0
2022.12.23 15:38,불경기 시작 초입까지 잘 버텼다 pwse...,1,0
2022.12.23 15:30,ㅈ같다~,3,0
2022.12.23 15:13,왜.이놈만 [2],4,0
2022.12.23 15:11,장기적 관점으로 봅시다. [1],27,0
2022.12.23 15:10,남탓은 하고 본인 탓은 안해? [1],5,1
2022.12.23 14:37,지켜야할 철칙~!!! [1],7,3
2022.12.23 14:32,"### 신한,한투 - 또 장난질 하네 [1]",2,0
2022.12.23 14:30,평단가 85.000원인데,5,3
2022.12.23 14:27,으아악,3,0
2022.12.23 14:15,개가튼 민주당 주가폭락 [5],9,7
2022.12.23 14:15,23년도에 망하나??? [1],1,0
2022.12.23 13:55,급락 후 급등~~~타이밍,4,0
2022.12.23 13:50,포스코홀딩스 보합 [1],5,0
2022.12.23 13:48,포홀 간다,3,0
2022.12.23 13:36,추매! 추매!,4,0
2022.12.23 13:22,별 다른 주제가 없어서... [8],5,1
2022.12.23 13:08,오늘 종가는 183500원 ^^ [1],1,0
2022.12.23 13:05,대주주 양도세 10억,1,0
2022.12.23 12:59,"### 신한,한투 - 또 장난질 하네",2,0
2022.12.23 12:58,테슬라가 할배냐.k배터리와 아무상관없다....,4,0
2022.12.23 12:40,[삭제된 게시물의 답글]■180500 미...,1,0
2022.12.23 12:30,단기 25%급락~~~담주는 반발매수세 유... [1],2,1
2022.12.23 12:26,연기금..담네..,2,0
2022.12.23 12:10,"대주주 10억,잘난 민주당놈들의 작품이다... [1]",6,0
2022.12.23 11:58,테슬라 판매부진 포케와 아무 상관없음.중... [2],8,0
2022.12.23 11:53,"### 신한,한투 - 또 장난질 하네 [1]",2,0
2022.12.23 11:50,이제~~~저점 확인했다ㅎㅎ [1],5,1
2022.12.23 11:43,살때,1,0
2022.12.23 11:27,조정줄때 담아라 [3],4,2
2022.12.23 11:23,아직 매수금지ㅡ>좀더 기다려라,7,1
2022.12.23 11:07,120일선까지 매수금지,3,1
