datetime,title,up,down
2022.12.25 19:37,이거만 알면 돼 [1],12,4
2022.12.25 16:50,수주 모멘텀이 사라진 엔솔과는 다르다.,4,2
2022.12.25 14:52,삼성sdi 주가 질문드립니다 [2],2,1
2022.12.25 13:35,테슬라 엎치고 양도세 덮치고 전과4범과 ...,12,2
2022.12.25 12:43,'대주주' 기준,11,0
2022.12.24 15:19,각증방 한국주식시장 주식양도세에 덥친한국...,13,2
2022.12.24 01:21,Sdi 주가 질문드립니다 [2],5,1
2022.12.23 18:39,여기는,5,1
2022.12.23 18:38,30만원대 오면 매수준비 하시길,3,1
2022.12.23 17:36,삼성sdi 월봉상 삼산 [1],3,2
2022.12.23 15:41,결국 겁먹은 개미가 스스로 하락을,2,0
2022.12.24 08:50,전과4범과 더듬당놈들 양도세인못해준다고 ...,1,0
2022.12.23 14:37,나스닥 다음주 만 깨진다 ..... 패닉...,1,0
2022.12.23 12:32,50만원까지 봐야 합니다,1,0
2022.12.23 09:45,반도체주가아닌데,4,1
2022.12.23 09:30,비교적 거품이 적다.,2,0
2022.12.23 09:28,62에 시세 포착 걸어뒀는데,1,0
2022.12.23 09:27,최고점 대비 20%도,1,0
2022.12.23 06:51,어제 다들 까불어 제끼드만...,1,0
2022.12.23 06:21,이제 배터리의 겨울이 [1],2,0
2022.12.23 06:05,어제 오바하두만 ...... 오늘 뒤졌네...,1,0
2022.12.23 03:27,김건희 작전주 도이치모터스로 10억벌어 [3],10,6
2022.12.22 22:07,★국민들 발목 잡기하는 민주당 다음 총선... [4],32,12
2022.12.22 17:52,축! 성탄 ㅋㅋ [6],25,4
2022.12.22 17:48,금투세 [1],8,1
2022.12.22 15:12,꼬라지가 보합종가,1,0
2022.12.22 14:56,내가사면 내려 [1],2,1
2022.12.22 14:39,토론방 욕찌거리 나올정도면 조정이,1,0
2022.12.22 12:48,12월에만 십만원 폭락했는데 [1],2,0
2022.12.22 10:16,배당금 1000 받고,1,0
2022.12.22 10:11,배당금 천원? [2],4,0
2022.12.22 09:44,세금회피물량 [1],2,1
2022.12.22 09:20,2차전지 테슬라 개똥 때문에 [2],2,0
2022.12.22 09:09,동지,1,0
2022.12.22 08:55,안보고 싶은글,3,0
2022.12.21 22:59,제가 오늘 막판 추매!,5,0
2022.12.21 21:59,내려가든 올라가든,3,0
2022.12.21 15:45,기관 연기금 진짜 ~~,2,0
2022.12.21 15:42,"120일선, 62만 깨지면 [1]",1,0
2022.12.21 14:54,"이렇게 쭉쭉쭉 빠지기만 하는 개잡은,, [1]",3,0
2022.12.21 14:03,종가에,1,0
2022.12.21 12:25,팔지 말고 버티자! [1],4,2
2022.12.21 12:16,개똥이 회사,1,0
2022.12.21 12:00,[삭제된 게시물의 답글]32층에서 기다린...,3,0
2022.12.21 11:26,여의도,4,0
2022.12.21 11:14,역시나 ㅋ 떨어질땐 누구보다 빠르고 크게,2,0
2022.12.21 11:08,63만원,4,0
2022.12.21 11:05,형님들 이거 백만돌파가능할까요? [3],4,1
2022.12.21 11:01,전에 어떤 넘이 [1],1,0
2022.12.21 10:24,개미 꼬시면서 팔기 [1],1,0
2022.12.21 10:19,저밑에 찬티글 올리는 넘들 욕해라,1,0
2022.12.21 10:17,마에 635 또 왔네,1,0
2022.12.21 10:08,외인ㆍ기관,2,1
2022.12.21 10:01,(강력추천) 풀매수!!! [1],1,0
2022.12.21 09:50,주식보고있으면 시간뺏긴다,1,0
2022.12.21 09:47,에너지솔루션per129,2,0
2022.12.21 09:55,에너지솔루션per129 [1],1,0
2022.12.21 09:46,기관매도 언제까지?,1,0
2022.12.21 09:44,12월에만 십만원 폭락에 [1],4,1
2022.12.21 09:43,저점 이탈,2,0
2022.12.21 09:41,회사부도났나.날마다빠지나.쓰레기개잡주.,1,0
2022.12.21 09:35,연일개관들이12일째 팔아잿기니..ㄱ ㅐ....,2,0
2022.12.21 09:33,노랑대갈빡들,1,0
2022.12.21 09:22,테슬라 내리는것 안보여?,2,0
2022.12.21 09:19,회사부도났나.날이면날마다빠지나.개잡주.,1,0
2022.12.21 09:18,52에서 78까지 나홀로 폭등한주식,1,0
2022.12.21 09:14,노랑이,1,0
2022.12.21 09:13,테슬라와 뭔 상관? [1],1,0
2022.12.21 09:10,이런18같은.,2,1
2022.12.21 08:59,테슬라와 함께 영원히 폭망해버려라 [2],2,0
2022.12.21 08:53,매일경제기사 참고하세요!,2,1
2022.12.21 07:55,테슬라바닥찍었다..이제 가즈아,3,0
2022.12.20 17:40,제펜 BOJ 금융완화 축소발표 영향에 달... [5],26,2
2022.12.20 17:32,연말에 기관들 SDI그냥 던지네 나쁜넘...,5,2
2022.12.20 17:26,일본도 이제서야 긴축 시작한다고 유럽도 ...,2,1
2022.12.20 16:36,곧 59만원,2,0
2022.12.20 16:18,영업이익 2조원돌파 전망 [5],8,0
2022.12.20 15:54,오늘 선방했네요.,3,0
2022.12.20 15:51,외인 문닫고 선물매수,2,0
2022.12.20 15:25,공매디지는날,2,1
2022.12.20 13:57,왜? [1],1,0
2022.12.20 13:09,미장 분위기가 [1],1,0
2022.12.20 12:58,외인.기관,1,0
2022.12.20 12:19,기다리면됨,2,0
2022.12.20 12:00,ㅋㅋ 역시 일관성 있네 [1],1,0
2022.12.20 11:09,"■■■■ 찢 쓰레기들 ,,,, 연말용...",1,0
2022.12.20 10:23,자전거래,2,0
2022.12.20 10:03,오늘 상승 예감,2,0
2022.12.20 09:24,금리로 인한 변동성이 문제 [1],1,0
2022.12.20 09:07,또개폭락시작이다. 젤 마니빠지나.ㅆ..,1,0
2022.12.20 09:04,기다려 55올때까지,2,0
2022.12.20 08:57,"Battery리포트/ 가까이 보면 비극,...",1,0
2022.12.20 08:42,리포트만 내지 말고,2,0
2022.12.20 08:07,삼전 가지고 있는 주주들 거거 팔고 여기... [1],2,0
2022.12.19 17:32,코스피 3 거래일 연속 하락.... 23... [7],25,3
2022.12.19 15:51,오늘은 쫄개미들이 순매수했는데,1,0
