datetime,title,up,down
2022.12.25 08:25,디앰은 특별배당 준다고 구라치더니 [2],7,2
2022.12.24 20:57,하반기 '독도수호' 훈련 소규모 비공개로...,2,0
2022.12.24 20:54,"'中비밀경찰 거점 의혹' 강남 중국집, ...",2,0
2022.12.24 15:03,삼전 보통주.. 헤드앤숄더,3,2
2022.12.24 00:50,중졸띨엠 형한테 와라,6,4
2022.12.23 18:12,잡주네,3,0
2022.12.23 17:16,오를땐덜 오르고 내릴땐더 내리고,3,1
2022.12.23 17:13,시외 526,2,0
2022.12.23 16:57,띨엠아ㅡㅡㅡㅡ!!!!,5,1
2022.12.23 15:58,왜 그래요ㅋ 이제 시작인데~ ㅋㅋㅋ [2],13,4
2022.12.23 15:48,그 사람 긴급 심리분석 종합결과,13,1
2022.12.23 15:37,친구가 삼전우 산다길래,9,2
2022.12.23 14:48,소름끼치도록 무서운 사실!!! [1],29,13
2022.12.23 12:43,53300 [4],12,5
2022.12.23 12:39,우선주 다 팔고 본주로 갈까요? [7],10,9
2022.12.23 12:24,아래 도배꾼 글이 삭제됐내요 [1],11,3
2022.12.23 11:39,dm00 다계정 이용자 입니다. [3],26,12
2022.12.23 11:06,에휴 철퍼덕 ㅠ.ㅠ,3,1
2022.12.23 11:01,전약후강~~~ [2],8,2
2022.12.23 10:41,러시아 푸틴이 없어지던지,3,1
2022.12.23 10:37,세상 엿같다 [1],4,3
2022.12.23 10:30,다행히 VIX 수치가 떨어지네..,5,0
2022.12.23 10:22,전약후강~~~~ [1],4,2
2022.12.23 10:19,내년1월초에 5만원 깨진다. [4],8,7
2022.12.23 10:17,쓰레기 한명때문에 여기 개미들 다물리네 [1],11,9
2022.12.23 10:16,■ 오늘의 교훈~! [6],14,12
2022.12.23 09:50,삼전 최대 악재,7,5
2022.12.23 09:43,주주위해 자사주 매입이라도 해라 [2],9,1
2022.12.23 09:42,특별배당 가능성 [1],13,4
2022.12.23 09:41,○ 내년 최악의 코스피 될듯 [1],7,2
2022.12.23 09:41,방어,3,2
2022.12.23 09:36,여윽시 그이때문에 또 하락ㅋㅋㅋ,5,4
2022.12.23 09:30,근데 백만장O 욕하는 글 보면 [1],13,2
2022.12.23 09:21,아조,4,2
2022.12.23 09:16,대깨 도배쟁이야 니가 혐스러운 이유는,22,4
2022.12.23 09:11,진짜 궁금하다,6,3
2022.12.23 09:06,dm00아 시가 좋다잉 그치?ㅋ막 기쁘지... [2],11,8
2022.12.23 09:06,곧 4만전자다... [1],5,4
2022.12.23 09:02,얀말까정 3띵우 가능 ??,4,1
2022.12.23 09:01,정말 하루하루,4,1
2022.12.23 08:55,도배꾼 보면 일부러 안티모으는거 같네,10,4
2022.12.23 08:46,내가 말했제? [1],2,0
2022.12.23 08:46,대통령 뽑는 재주,3,0
2022.12.23 08:39,ㅋㅋㅋㅋ ★ 희소식 이지랄,6,2
2022.12.23 03:32,dm00 = 백만장자야 나스닥지수 박살났... [4],8,7
2022.12.23 01:14,중졸띨엠 저능아답게,17,16
2022.12.23 02:14,[삭제된 게시물의 답글]■ 삼성전자(우)...,10,3
2022.12.23 01:00,미장 떨어져도 [2],6,3
2022.12.23 00:32,AMD 7% 대폭락,9,4
2022.12.22 22:50,도배벌레,10,4
2022.12.22 20:38,토론방에 도배를해서 여기 쳐다보기도싫음,14,4
2022.12.22 19:24,도배꾼 조용해질 날,6,3
2022.12.22 18:18,"허경영, 월1억으로 365일 무료급식중",2,1
2022.12.22 18:06,ㅋㅋㅋ도배하던 디엠이 글삭 다했네???,8,2
2022.12.22 17:57,이래서 미장을 해야지,2,1
2022.12.22 15:48,도배충 지붕? ㅋㅋ.,8,6
2022.12.22 15:21,장도 끝났다 새끼야...,16,9
2022.12.22 15:01,도배좀 그만해라 [1],20,9
2022.12.22 14:27,유명 유투버 10만원 간다고 하네요... [5],21,2
2022.12.22 14:17,53800~~~ [1],7,1
2022.12.22 13:54,바닥신호 [2],11,1
2022.12.22 14:07,바닥신호,7,1
2022.12.22 13:52,순양자동차 [2],11,0
2022.12.22 12:57,53800~~~ [4],10,2
2022.12.22 12:32,dm00 도배벌레우,12,10
2022.12.22 12:28,애플도 전기차 만든다는데,2,1
2022.12.22 12:25,띨엠형 더해줘더더더더,5,4
2022.12.22 11:53,다 던지고 본주로 갈사람??? [2],5,3
2022.12.22 11:39,53800~~~ [1],3,1
2022.12.22 11:00,53800 [2],13,1
2022.12.22 10:47,나가 죽어라,2,1
2022.12.22 10:42,우선주 악재있나요? [4],4,1
